name,id,version,github_url,Vi-1,CMT_Vi+1,Vi+1,CMT_Vi+1
io.undertow:undertow-core,47,1.4.28.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.22.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.3.0.Beta9,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.1.2.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.2.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.2.9.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Alpha21,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.1.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.0.Beta1,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.18.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.4.21.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Alpha3,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.3.28.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.CR5,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.CR4,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.6.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.4.4.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.4.12.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.2.11.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.5.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.6.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.4.18.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.18.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Beta25,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.2.3.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Beta17,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.0.10.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,2.1.3.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.3.23.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.2.0.Beta3,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.3.17.Final,https://github.com/undertow-io/undertow,,,,
io.undertow:undertow-core,47,1.0.0.Beta32,https://github.com/undertow-io/undertow,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.6.7,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.1.0,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.7.9,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.9.0.pr4,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.7.3,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.7.4,https://github.com/FasterXML/jackson-dataformat-xml,,,,
com.fasterxml.jackson.dataformat:jackson-dataformat-xml,85,2.10.4,https://github.com/FasterXML/jackson-dataformat-xml,,,,
